Account Name,Compound,Negative,Neutral,Positive,Tweet,Tweets Ago
@BBCWorld,0.5859,0.703,0.0,0.297,Is Russia the real winner of World Cup 2018? https://t.co/TKWhqeUuw3,1
@BBCWorld,-0.25,0.818,0.182,0.0,Croatia's Luka Modric: Chequered past haunts World Cup star https://t.co/HTOQlGhDGx,2
@BBCWorld,0.0,1.0,0.0,0.0,Trump's UK visit: Eight key moments https://t.co/TrVZKHHcsr,3
@BBCWorld,-0.1531,0.556,0.243,0.201,"Good week, bad week: The people in the news https://t.co/HWje3APiS9",4
@BBCWorld,0.5106,0.708,0.0,0.292,The full story of Thailand’s extraordinary cave rescue https://t.co/ZW6wsluFEm,5
@BBCWorld,0.0,1.0,0.0,0.0,US lawmaker caught speeding tells cop he often does so https://t.co/nKzrjFHLGj,6
@BBCWorld,0.0,1.0,0.0,0.0,Four intriguing lines in Mueller indictment https://t.co/y76P7mRI5K,7
@BBCWorld,0.0,1.0,0.0,0.0,Trump Russia affair: Key questions answered https://t.co/Toa96dvcqi,8
@BBCWorld,-0.5106,0.82,0.18,0.0,RT @BBCJonSopel: Meet Dick Dastardly and Penelope Pitstop. My blog on another extraordinary day. #TrumpVisitUK  https://t.co/M80Ot4wbPA,9
@BBCWorld,-0.6249,0.661,0.339,0.0,Eritrea President Isaias Afwerki 'both charismatic and brutal' https://t.co/orcuB4tOfg,10
@BBCWorld,0.0,1.0,0.0,0.0,Trump May meeting: The Wacky Races of press conferences https://t.co/cp9SuEdzx7,11
@BBCWorld,-0.7906,0.731,0.269,0.0,RT @BBCBreaking: Former PM Nawaz Sharif arrested on return to Pakistan as elsewhere scores die in blasts targeting election rallies https:/…,12
@BBCWorld,0.0,1.0,0.0,0.0,#PlaneBae: A cautionary tale about privacy when a story goes viral https://t.co/eBZ7e7znCc,13
@BBCWorld,0.0,1.0,0.0,0.0,Russia-Trump: Who's who in the drama to end all dramas? https://t.co/TcWPI5KAst,14
@BBCWorld,0.0,1.0,0.0,0.0,Russians indicted over US election hack https://t.co/jOBrdLAA0l,15
@BBCWorld,0.4767,0.846,0.0,0.154,"RT @BBCBreaking: 12 Russian intelligence officers indicted for hacking Democrat emails during 2016 election, US authorities announce https:…",16
@BBCWorld,0.0,1.0,0.0,0.0,"RT @BBCBreaking: Queen Elizabeth II meets US President Donald Trump at Windsor Castle 

https://t.co/3Q606Y04yc #TrumpVisitUK https://t.co/…",17
@BBCWorld,-0.891,0.43,0.57,0.0,Pakistan election: Scores killed in bomb attacks on poll rallies https://t.co/RLOXmu914B,18
@BBCWorld,0.0,1.0,0.0,0.0,Wittenoom: Tourists urged to stay away from asbestos town https://t.co/e2ANaXDy2L,19
@BBCWorld,0.0,1.0,0.0,0.0,Emmerson Mnangagwa: The 'crocodile' who snapped back https://t.co/gm3xQpJtor,20
@CBSNews,0.0,1.0,0.0,0.0,Giant hogweed sends Virginia teen to hospital burn unit https://t.co/B3DrEBsAYc https://t.co/lLHAdnNFu3,21
@CBSNews,0.0,1.0,0.0,0.0,"Lisa Page to testify behind closed doors, comes on the heels of an explosive hearing with the FBI's Peter Strzok on… https://t.co/9UuZcKwBJK",22
@CBSNews,-0.34,0.876,0.124,0.0,"Commerce secretary Wilbur Ross will sell his equities, admitts he ""made inadvertent errors in completing the divest… https://t.co/3kM0QIfmVC",23
@CBSNews,0.0,1.0,0.0,0.0,Detaining immigrant kids is now a billion-dollar industry https://t.co/1LfGH9BzMW https://t.co/9eLUDwEAmG,24
@CBSNews,-0.4404,0.83,0.17,0.0,WATCH: Thousands of protesters gather in the streets of London to protest President Trump during his trip to the U.… https://t.co/0jj1tkhorX,25
@CBSNews,-0.1027,0.903,0.097,0.0,"""Do not eat this cereal"": CDC warns consumers about Kellogg's Honey Smacks ""https://t.co/I10Fmi5Sbf https://t.co/kKQ0HsgKVz",26
@CBSNews,0.3919,0.878,0.0,0.122,"""I'm not going in with high expectations, but we may come out with surprising things. Relationship is important… Ha… https://t.co/pQA0sbDboC",27
@CBSNews,0.0,1.0,0.0,0.0,"""It will be a slow process. We are not the only ones that have nukes. It would be a slow process,"" @POTUS says on d… https://t.co/ixcn9Z2Hu4",28
@CBSNews,0.6124,0.808,0.0,0.192,"“What is important is that the president goes into this as he is doing, from a position of strength and also from a… https://t.co/TSVXjO2MXU",29
@CBSNews,0.7783,0.672,0.0,0.328,".@POTUS: ""I think we would have a chance to have a good relationship with Russia and a very good relationship with… https://t.co/3ZgHrHCtfp",30
@CBSNews,-0.4767,0.871,0.129,0.0,"“CNN is fake news. I don't take questions from CNN. John Roberts of Fox. Let's go to a real network,” @POTUS says w… https://t.co/hZMidkZ1ZR",31
@CBSNews,0.743,0.733,0.0,0.267,PM May: We have a proud history of welcoming people who want to come to our country to contribute to our economy an… https://t.co/fudOJaecck,32
@CBSNews,-0.34,0.764,0.145,0.091,"“We have very bad immigration laws and we are, I mean, we are doing incredibly well, considering the fact that we v… https://t.co/7e1fCOd6OK",33
@CBSNews,-0.1027,0.779,0.119,0.102,"Reporter: PM May, do you agree with Pres. Trump that immigration has damaged the cultural fabric of Europe? And Mr.… https://t.co/Zr9JMa8L83",34
@CBSNews,0.0772,0.933,0.0,0.067,"“We'll be talking to President Putin about a number of things,” @POTUS says, naming Ukraine, Syria the Middle East,… https://t.co/RuKur0tPT7",35
@CBSNews,0.8885,0.59,0.0,0.41,"“I want to thank you for the honor of visiting the United Kingdom, a special place. My mother was born here. It mea… https://t.co/0qL4c2gCay",36
@CBSNews,0.4951,0.572,0.157,0.271,".@POTUS: Border security is a national security problem, and in the United States we are working very hard to get t… https://t.co/woBDiOht3L",37
@CBSNews,0.399,0.575,0.18,0.245,"“I encourage the prime minister to sustain pressure on the regime, and she needed absolutely no encouragement becau… https://t.co/bDFg2F7rFF",38
@CBSNews,0.4848,0.818,0.056,0.126,"“The U.K. is one of the handful of nations -- five out of 29, not good, but going to get better really fast -- in a… https://t.co/hHhn1z6Q97",39
@CBSNews,0.0,1.0,0.0,0.0,WATCH: President Trump and Prime Minister Teresa May hold joint news conference https://t.co/dGF3e8qZ1N https://t.co/m86lSDTpvS,40
@FoxNews,0.4767,0.69,0.096,0.215,"PM Theresa May: ""In particular on Russia, I thanked @POTUS for his support in responding to an appalling use of a n… https://t.co/F6GLNS77Io",41
@FoxNews,0.7096,0.543,0.0,0.457,"PM Theresa May: ""I'm pleased to welcome @POTUS."" https://t.co/Nk1VAUFol7",42
@FoxNews,0.0,1.0,0.0,0.0,RIGHT NOW: @POTUS and British PM Theresa May walk out for joint news conference. https://t.co/D1IR0iaL8H,43
@FoxNews,0.0,1.0,0.0,0.0,.@POTUS and UK Prime Minister @theresa_may hold a joint news conference. https://t.co/exipRvAaFG,44
@FoxNews,0.4466,0.773,0.0,0.227,NEWS ALERT: Awaiting @POTUS and British PM @theresa_may news conference. https://t.co/F0maDZ2BKl,45
@FoxNews,0.4567,0.8,0.0,0.2,".@karringtonsc: ""I didn't stop talking to God from the moment of impact. Very loudly - I was not quiet."" https://t.co/W5uNRhKj04",46
@FoxNews,-0.5106,0.829,0.171,0.0,A six meter high helium filled inflatable of President @realDonaldTrump depicted as a giant angry orange baby weari… https://t.co/uAwtp3uWoB,47
@FoxNews,0.4466,0.773,0.0,0.227,NEWS ALERT: Awaiting @POTUS and British PM @theresa_may news conference. https://t.co/m1zdZFIH0t,48
@FoxNews,0.4215,0.851,0.0,0.149,"On @foxandfriends, @Nigel_Farage said he hopes British PM @theresa_may is ""out of office before too long.""… https://t.co/x8NLzPLpRo",49
@FoxNews,-0.2263,0.71,0.174,0.116,Giuliani slams Strzok for refusing to admit different versions of Trump dossier https://t.co/mNwj422z0f,50
@FoxNews,0.4767,0.594,0.0,0.406,".@karringtonsc: ""God... number one, saved my life."" https://t.co/ccHUbxeAZh",51
@FoxNews,0.0,1.0,0.0,0.0,"On an all-new 'OBJECTified,' @KrisJenner sits down with @harveylevintmz to discuss her journey – and the events tha… https://t.co/6l6RXJ8T7X",52
@FoxNews,0.0,1.0,0.0,0.0,Dems who drafted bill to abolish ICE now say they'll vote against it https://t.co/4FSvKUHiKB,53
@FoxNews,0.0,1.0,0.0,0.0,".@Nigel_Farage: ""Trump believes in Brexit. He believes in a world of democratic nation-states cooperating with each… https://t.co/EgAnCEHBCd",54
@FoxNews,-0.4824,0.719,0.281,0.0,CDC WARNING: Do not eat 'Honey Smacks' cereal. https://t.co/EGwxZiPEUj,55
@FoxNews,0.0,1.0,0.0,0.0,".@SteveHiltonx: ""They won't give @realDonaldTrump a state visit but a couple of years ago they parade Xi Jinping th… https://t.co/aWyi0CATgf",56
@FoxNews,-0.6705,0.621,0.379,0.0,HAPPENING NOW: Anti-@realDonaldTrump protests rage for second day in London. https://t.co/1T0slMPALv,57
@FoxNews,0.0,1.0,0.0,0.0,".@POTUS: ""The relationship is very, very strong."" https://t.co/ClWERSvV8P",58
@FoxNews,-0.0516,0.68,0.165,0.155,".@Johnny_Joey on @RepCohen 'Purple Heart' comments: ""It's pretty disgraceful and probably the stupidest thing someo… https://t.co/r8GdUw63ay",59
@FoxNews,0.7717,0.676,0.0,0.324,"OPINION: @newtgingrich: GOP could win big in November thanks to Democrats’ radical, unrealistic immigration stance https://t.co/QjvEKGGJtM",60
@CNN,0.0,1.0,0.0,0.0,"5 things for Friday:

- President Trump in the UK
- Strzok hearing
- Syria
- AT&amp;T-Time Warner 
- Emmys… https://t.co/HB7FKxxFHs",61
@CNN,-0.7184,0.667,0.333,0.0,A woman accused of attacking a 91-year-old Mexican man with a concrete brick has been charged with attempted murder… https://t.co/SGSlznkdnQ,62
@CNN,-0.6808,0.728,0.272,0.0,A Florida sporting goods manager says he tackled a man trying to steal a gun. Now he's been fired.… https://t.co/JICAN9AGZf,63
@CNN,0.4019,0.87,0.0,0.13,A jury has awarded $4.62 billion to 22 women who sued pharmaceutical giant Johnson &amp; Johnson alleging their ovarian… https://t.co/1G7OEfTcy0,64
@CNN,0.0,1.0,0.0,0.0,"RT @CNNPolitics: ""The relationship is very, very strong,"" US President Trump says before a bilateral meeting with British PM Theresa May ht…",65
